exit_m,common_m,series_a_m,series_b_m,series_a_converts,series_b_converts
0.0,0.0,0.0,0.0,False,False
0.1,0.0,0.0,0.1,False,False
0.2,0.0,0.0,0.2,False,False
0.3,0.0,0.0,0.3,False,False
0.4,0.0,0.0,0.4,False,False
0.5,0.0,0.0,0.5,False,False
0.6,0.0,0.0,0.6,False,False
0.7,0.0,0.0,0.7,False,False
0.8,0.0,0.0,0.8,False,False
0.9,0.0,0.0,0.9,False,False
1.0,0.0,0.0,1.0,False,False
1.1,0.0,0.0,1.1,False,False
1.2,0.0,0.0,1.2,False,False
1.3,0.0,0.0,1.3,False,False
1.4,0.0,0.0,1.4,False,False
1.5,0.0,0.0,1.5,False,False
1.6,0.0,0.0,1.6,False,False
1.7,0.0,0.0,1.7,False,False
1.8,0.0,0.0,1.8,False,False
1.9,0.0,0.0,1.9,False,False
2.0,0.0,0.0,2.0,False,False
2.1,0.0,0.0,2.1,False,False
2.2,0.0,0.0,2.2,False,False
2.3,0.0,0.0,2.3,False,False
2.4,0.0,0.0,2.4,False,False
2.5,0.0,0.0,2.5,False,False
2.6,0.0,0.0,2.6,False,False
2.7,0.0,0.0,2.7,False,False
2.8,0.0,0.0,2.8,False,False
2.9,0.0,0.0,2.9,False,False
3.0,0.0,0.0,3.0,False,False
3.1,0.0,0.0,3.1,False,False
3.2,0.0,0.0,3.2,False,False
3.3,0.0,0.0,3.3,False,False
3.4,0.0,0.0,3.4,False,False
3.5,0.0,0.0,3.5,False,False
3.6,0.0,0.0,3.6,False,False
3.7,0.0,0.0,3.7,False,False
3.8,0.0,0.0,3.8,False,False
3.9,0.0,0.0,3.9,False,False
4.0,0.0,0.0,4.0,False,False
4.1,0.0,0.0,4.1,False,False
4.2,0.0,0.0,4.2,False,False
4.3,0.0,0.0,4.3,False,False
4.4,0.0,0.0,4.4,False,False
4.5,0.0,0.0,4.5,False,False
4.6,0.0,0.0,4.6,False,False
4.7,0.0,0.0,4.7,False,False
4.8,0.0,0.0,4.8,False,False
4.9,0.0,0.0,4.9,False,False
5.0,0.0,0.0,5.0,False,False
5.1,0.0,0.0,5.1,False,False
5.2,0.0,0.0,5.2,False,False
5.3,0.0,0.0,5.3,False,False
5.4,0.0,0.0,5.4,False,False
5.5,0.0,0.0,5.5,False,False
5.6,0.0,0.0,5.6,False,False
5.7,0.0,0.0,5.7,False,False
5.8,0.0,0.0,5.8,False,False
5.9,0.0,0.0,5.9,False,False
6.0,0.0,0.0,6.0,False,False
6.1,0.0,0.0,6.1,False,False
6.2,0.0,0.0,6.2,False,False
6.3,0.0,0.0,6.3,False,False
6.4,0.0,0.0,6.4,False,False
6.5,0.0,0.0,6.5,False,False
6.6,0.0,0.0,6.6,False,False
6.7,0.0,0.0,6.7,False,False
6.8,0.0,0.0,6.8,False,False
6.9,0.0,0.0,6.9,False,False
7.0,0.0,0.0,7.0,False,False
7.1,0.0,0.0,7.1,False,False
7.2,0.0,0.0,7.2,False,False
7.3,0.0,0.0,7.3,False,False
7.4,0.0,0.0,7.4,False,False
7.5,0.0,0.0,7.5,False,False
7.6,0.0,0.0,7.6,False,False
7.7,0.0,0.0,7.7,False,False
7.8,0.0,0.0,7.8,False,False
7.9,0.0,0.0,7.9,False,False
8.0,0.0,0.0,8.0,False,False
8.1,0.0,0.0,8.1,False,False
8.2,0.0,0.0,8.2,False,False
8.3,0.0,0.0,8.3,False,False
8.4,0.0,0.0,8.4,False,False
8.5,0.0,0.0,8.5,False,False
8.6,0.0,0.0,8.6,False,False
8.7,0.0,0.0,8.7,False,False
8.8,0.0,0.0,8.8,False,False
8.9,0.0,0.0,8.9,False,False
9.0,0.0,0.0,9.0,False,False
9.1,0.0,0.1,9.0,False,False
9.2,0.0,0.2,9.0,False,False
9.3,0.0,0.3,9.0,False,False
9.4,0.0,0.4,9.0,False,False
9.5,0.0,0.5,9.0,False,False
9.6,0.0,0.6,9.0,False,False
9.7,0.0,0.7,9.0,False,False
9.8,0.0,0.8,9.0,False,False
9.9,0.0,0.9,9.0,False,False
10.0,0.0,1.0,9.0,False,False
10.1,0.0,1.1,9.0,False,False
10.2,0.0,1.2,9.0,False,False
10.3,0.0,1.3,9.0,False,False
10.4,0.0,1.4,9.0,False,False
10.5,0.0,1.5,9.0,False,False
10.6,0.0,1.6,9.0,False,False
10.7,0.0,1.7,9.0,False,False
10.8,0.0,1.8,9.0,False,False
10.9,0.0,1.9,9.0,False,False
11.0,0.0,2.0,9.0,False,False
11.1,0.0,2.1,9.0,False,False
11.2,0.0,2.2,9.0,False,False
11.3,0.0,2.3,9.0,False,False
11.4,0.0,2.4,9.0,False,False
11.5,0.0,2.5,9.0,False,False
11.6,0.0,2.6,9.0,False,False
11.7,0.0,2.7,9.0,False,False
11.8,0.0,2.8,9.0,False,False
11.9,0.0,2.9,9.0,False,False
12.0,0.0,3.0,9.0,False,False
12.1,0.0,3.1,9.0,False,False
12.2,0.0,3.2,9.0,False,False
12.3,0.0,3.3,9.0,False,False
12.4,0.0,3.4,9.0,False,False
12.5,0.0,3.5,9.0,False,False
12.6,0.0,3.6,9.0,False,False
12.7,0.0,3.7,9.0,False,False
12.8,0.0,3.8,9.0,False,False
12.9,0.0,3.9,9.0,False,False
13.0,0.0,4.0,9.0,False,False
13.1,0.0,4.1,9.0,False,False
13.2,0.0,4.2,9.0,False,False
13.3,0.0,4.3,9.0,False,False
13.4,0.0,4.4,9.0,False,False
13.5,0.0,4.5,9.0,False,False
13.6,0.0,4.6,9.0,False,False
13.7,0.0,4.7,9.0,False,False
13.8,0.0,4.8,9.0,False,False
13.9,0.0,4.9,9.0,False,False
14.0,0.0,5.0,9.0,False,False
14.1,0.08,5.02,9.0,False,False
14.2,0.16,5.04,9.0,False,False
14.3,0.24,5.06,9.0,False,False
14.4,0.32,5.08,9.0,False,False
14.5,0.4,5.1,9.0,False,False
14.6,0.48,5.12,9.0,False,False
14.7,0.56,5.14,9.0,False,False
14.8,0.64,5.16,9.0,False,False
14.9,0.72,5.18,9.0,False,False
15.0,0.8,5.2,9.0,False,False
15.1,0.88,5.22,9.0,False,False
15.2,0.96,5.24,9.0,False,False
15.3,1.04,5.26,9.0,False,False
15.4,1.12,5.28,9.0,False,False
15.5,1.2,5.3,9.0,False,False
15.6,1.28,5.32,9.0,False,False
15.7,1.36,5.34,9.0,False,False
15.8,1.44,5.36,9.0,False,False
15.9,1.52,5.38,9.0,False,False
16.0,1.6,5.4,9.0,False,False
16.1,1.6800000000000017,5.42,9.0,False,False
16.2,1.76,5.44,9.0,False,False
16.3,1.84,5.46,9.0,False,False
16.4,1.9199999999999986,5.48,9.0,False,False
16.5,2.0,5.5,9.0,False,False
16.6,2.080000000000002,5.52,9.0,False,False
16.7,2.16,5.54,9.0,False,False
16.8,2.24,5.56,9.0,False,False
16.9,2.32,5.58,9.0,False,False
17.0,2.4,5.6,9.0,False,False
17.1,2.48,5.62,9.0,False,False
17.2,2.56,5.64,9.0,False,False
17.3,2.64,5.66,9.0,False,False
17.4,2.72,5.68,9.0,False,False
17.5,2.8,5.7,9.0,False,False
17.6,2.88,5.72,9.0,False,False
17.7,2.96,5.74,9.0,False,False
17.8,3.04,5.76,9.0,False,False
17.9,3.12,5.78,9.0,False,False
18.0,3.2,5.8,9.0,False,False
18.1,3.28,5.82,9.0,False,False
18.2,3.36,5.84,9.0,False,False
18.3,3.44,5.86,9.0,False,False
18.4,3.52,5.88,9.0,False,False
18.5,3.6,5.9,9.0,False,False
18.6,3.68,5.92,9.0,False,False
18.7,3.76,5.94,9.0,False,False
18.8,3.84,5.96,9.0,False,False
18.9,3.92,5.98,9.0,False,False
19.0,4.0,6.0,9.0,False,False
19.1,4.08,6.02,9.0,False,False
19.2,4.16,6.04,9.0,False,False
19.3,4.24,6.06,9.0,False,False
19.4,4.32,6.08,9.0,False,False
19.5,4.4,6.1,9.0,False,False
19.6,4.48,6.12,9.0,False,False
19.7,4.56,6.14,9.0,False,False
19.8,4.64,6.16,9.0,False,False
19.9,4.72,6.18,9.0,False,False
20.0,4.8,6.2,9.0,False,False
20.1,4.88,6.22,9.0,False,False
20.2,4.96,6.24,9.0,False,False
20.3,5.04,6.26,9.0,False,False
20.4,5.12,6.28,9.0,False,False
20.5,5.2,6.3,9.0,False,False
20.6,5.28,6.32,9.0,False,False
20.7,5.36,6.34,9.0,False,False
20.8,5.44,6.36,9.0,False,False
20.9,5.52,6.38,9.0,False,False
21.0,5.6,6.4,9.0,False,False
21.1,5.68,6.42,9.0,False,False
21.2,5.76,6.44,9.0,False,False
21.3,5.84,6.46,9.0,False,False
21.4,5.92,6.48,9.0,False,False
21.5,6.0,6.5,9.0,False,False
21.6,6.08,6.52,9.0,False,False
21.7,6.16,6.54,9.0,False,False
21.8,6.24,6.56,9.0,False,False
21.9,6.32,6.58,9.0,False,False
22.0,6.4,6.6,9.0,False,False
22.1,6.48,6.62,9.0,False,False
22.2,6.56,6.64,9.0,False,False
22.3,6.64,6.66,9.0,False,False
22.4,6.72,6.68,9.0,False,False
22.5,6.8,6.7,9.0,False,False
22.6,6.88,6.72,9.0,False,False
22.7,6.96,6.74,9.0,False,False
22.8,7.04,6.76,9.0,False,False
22.9,7.12,6.78,9.0,False,False
23.0,7.2,6.8,9.0,False,False
23.1,7.28,6.82,9.0,False,False
23.2,7.36,6.84,9.0,False,False
23.3,7.44,6.86,9.0,False,False
23.4,7.52,6.88,9.0,False,False
23.5,7.6,6.9,9.0,False,False
23.6,7.68,6.92,9.0,False,False
23.7,7.76,6.94,9.0,False,False
23.8,7.84,6.96,9.0,False,False
23.9,7.92,6.98,9.0,False,False
24.0,8.0,7.0,9.0,False,False
24.1,8.08,7.02,9.0,False,False
24.2,8.16,7.04,9.0,False,False
24.3,8.24,7.06,9.0,False,False
24.4,8.32,7.08,9.0,False,False
24.5,8.4,7.1,9.0,False,False
24.6,8.48,7.12,9.0,False,False
24.7,8.56,7.14,9.0,False,False
24.8,8.64,7.16,9.0,False,False
24.9,8.72,7.18,9.0,False,False
25.0,8.8,7.2,9.0,False,False
25.1,8.88,7.22,9.0,False,False
25.2,8.96,7.24,9.0,False,False
25.3,9.04,7.26,9.0,False,False
25.4,9.12,7.28,9.0,False,False
25.5,9.2,7.3,9.0,False,False
25.6,9.28,7.32,9.0,False,False
25.7,9.36,7.34,9.0,False,False
25.8,9.44,7.36,9.0,False,False
25.9,9.52,7.38,9.0,False,False
26.0,9.6,7.4,9.0,False,False
26.1,9.68,7.42,9.0,False,False
26.2,9.76,7.44,9.0,False,False
26.3,9.84,7.46,9.0,False,False
26.4,9.92,7.48,9.0,False,False
26.5,10.0,7.5,9.0,False,False
26.6,10.08,7.52,9.0,False,False
26.7,10.16,7.54,9.0,False,False
26.8,10.24,7.56,9.0,False,False
26.9,10.32,7.58,9.0,False,False
27.0,10.4,7.6,9.0,False,False
27.1,10.48,7.62,9.0,False,False
27.2,10.56,7.64,9.0,False,False
27.3,10.64,7.66,9.0,False,False
27.4,10.72,7.68,9.0,False,False
27.5,10.8,7.7,9.0,False,False
27.6,10.88,7.72,9.0,False,False
27.7,10.96,7.74,9.0,False,False
27.8,11.04,7.76,9.0,False,False
27.9,11.12,7.78,9.0,False,False
28.0,11.2,7.8,9.0,False,False
28.1,11.28,7.82,9.0,False,False
28.2,11.36,7.84,9.0,False,False
28.3,11.44,7.86,9.0,False,False
28.4,11.52,7.88,9.0,False,False
28.5,11.6,7.9,9.0,False,False
28.6,11.68,7.92,9.0,False,False
28.7,11.76,7.94,9.0,False,False
28.8,11.84,7.96,9.0,False,False
28.9,11.92,7.98,9.0,False,False
29.0,12.0,8.0,9.0,False,False
29.1,12.08,8.02,9.0,False,False
29.2,12.16,8.04,9.0,False,False
29.3,12.24,8.06,9.0,False,False
29.4,12.32,8.08,9.0,False,False
29.5,12.4,8.1,9.0,False,False
29.6,12.48,8.12,9.0,False,False
29.7,12.56,8.14,9.0,False,False
29.8,12.64,8.16,9.0,False,False
29.9,12.72,8.18,9.0,False,False
30.0,12.8,8.2,9.0,False,False
30.1,12.88,8.22,9.0,False,False
30.2,12.96,8.24,9.0,False,False
30.3,13.04,8.26,9.0,False,False
30.4,13.12,8.28,9.0,False,False
30.5,13.2,8.3,9.0,False,False
30.6,13.28,8.32,9.0,False,False
30.7,13.36,8.34,9.0,False,False
30.8,13.44,8.36,9.0,False,False
30.9,13.52,8.38,9.0,False,False
31.0,13.6,8.4,9.0,False,False
31.1,13.68,8.42,9.0,False,False
31.2,13.76,8.44,9.0,False,False
31.3,13.84,8.46,9.0,False,False
31.4,13.92,8.48,9.0,False,False
31.5,14.0,8.5,9.0,False,False
31.6,14.08,8.52,9.0,False,False
31.7,14.16,8.54,9.0,False,False
31.8,14.24,8.56,9.0,False,False
31.9,14.32,8.58,9.0,False,False
32.0,14.4,8.6,9.0,False,False
32.1,14.48,8.62,9.0,False,False
32.2,14.560000000000004,8.64,9.0,False,False
32.3,14.639999999999999,8.66,9.0,False,False
32.4,14.72,8.68,9.0,False,False
32.5,14.8,8.7,9.0,False,False
32.6,14.88,8.72,9.0,False,False
32.7,14.960000000000004,8.74,9.0,False,False
32.8,15.039999999999997,8.76,9.0,False,False
32.9,15.12,8.78,9.0,False,False
33.0,15.2,8.8,9.0,False,False
33.1,15.28,8.82,9.0,False,False
33.2,15.360000000000003,8.84,9.0,False,False
33.3,15.439999999999998,8.86,9.0,False,False
33.4,15.52,8.88,9.0,False,False
33.5,15.6,8.9,9.0,False,False
33.6,15.68,8.92,9.0,False,False
33.7,15.76,8.94,9.0,False,False
33.8,15.84,8.96,9.0,False,False
33.9,15.92,8.98,9.0,False,False
34.0,16.0,9.0,9.0,False,False
34.1,16.08,9.02,9.0,False,False
34.2,16.16,9.04,9.0,False,False
34.3,16.24,9.06,9.0,False,False
34.4,16.32,9.08,9.0,False,False
34.5,16.4,9.1,9.0,False,False
34.6,16.48,9.12,9.0,False,False
34.7,16.56,9.14,9.0,False,False
34.8,16.64,9.16,9.0,False,False
34.9,16.72,9.18,9.0,False,False
35.0,16.8,9.2,9.0,False,False
35.1,16.88,9.22,9.0,False,False
35.2,16.96,9.24,9.0,False,False
35.3,17.04,9.26,9.0,False,False
35.4,17.12,9.28,9.0,False,False
